City	Date	SSC	Date	Mo=W+M	65+	W	M	DIS offensife(1,2,3 etc) non-offensive(0)	day of the season	T	Td	AT	T-AT
KHB	20020618	4	18.06.2002	20	7	7	13	0	49	21	14,6	27,0	6,0
KHB	20020619	0	19.06.2002	19	7	9	10	0	50	21	14,2	26,8	5,8
KHB	20020620	4	20.06.2002	31	21	14	17	0	51	19	9,8	23,1	4,1
KHB	20020621	2	21.06.2002	13	6	7	6	0	52	19	7,1	22,4	3,4
KHB	20020622	0	22.06.2002	21	7	6	15	0	53	17	10,6	21,4	4,4
KHB	20020623	1	23.06.2002	23	9	10	13	0	54	21	8,0	24,6	3,6
KHB	20020624	1	24.06.2002	23	12	13	10	0	55	27	6,4	30,2	3,2
KHB	20020625	1	25.06.2002	23	15	11	12	0	56	26	8,0	29,6	3,6
KHB	20020626	1	26.06.2002	21	11	4	17	0	57	25	11,2	29,6	4,6
KHB	20020627	0	27.06.2002	16	7	5	11	0	58	26	16,5	32,9	6,9
KHB	20020628	0	28.06.2002	19	9	8	11	0	59			2,7	2,7
KHB	20020629	4	29.06.2002	24	8	16	8	0	60	22	15,8	28,6	6,6
KHB	20020630	1	30.06.2002	24	13	12	12	0	61	26	16,0	32,6	6,6
KHB	20020701	0	01.07.2002	19	7	7	12	0	62	26	21,2	35,8	9,8
KHB	20020702	0	02.07.2002	14	7	9	5	0	63	23	19,8	31,8	8,8
KHB	20020703	4	03.07.2002	25	10	8	17	0	64	22	19,0	30,3	8,3
KHB	20020704	5	04.07.2002	19	10	8	11	0	65	14	13,7	19,6	5,6
KHB	20020705	4	05.07.2002	21	11	8	13	0	66	21	12,7	26,2	5,2
KHB	20020706	1	06.07.2002	23	16	14	9	0	67	27	14,1	32,7	5,7
KHB	20020707	0	07.07.2002	22	6	10	12	0	68	26	14,5	31,9	5,9
KHB	20020708	0	08.07.2002	23	12	10	13	0	69	29	18,7	37,2	8,2
KHB	20020709	0	09.07.2002	21	9	10	11	0	70	23	22,2	33,4	10,4
KHB	20020710	6	10.07.2002	16	9	6	10	0	71	27	22,4	37,6	10,6
KHB	20020711	4	11.07.2002	20	8	9	11	0	72	25	17,5	32,4	7,4
KHB	20020712	0	12.07.2002	24	11	11	13	0	73	18	17,2	25,3	7,3
KHB	20020713	5	13.07.2002	21	10	7	14	0	74	16	11,6	20,8	4,8
KHB	20020714	0	14.07.2002	24	12	11	13	0	75			2,7	2,7
KHB	20020715	0	15.07.2002	20	10	9	11	0	76	22	16,5	28,9	6,9
KHB	20020716	0	16.07.2002	21	6	7	14	0	77	25	18,0	32,7	7,7
KHB	20020717	0	17.07.2002	23	12	12	11	0	78	26	17,4	33,4	7,4
KHB	20020718	0	18.07.2002	33	15	20	13	0	79	29	16,5	35,9	6,9
KHB	20020719	4	19.07.2002	22	11	10	12	0	80	21	18,6	29,1	8,1
KHB	20020720	2	20.07.2002	21	12	13	8	0	81	21	13,9	26,7	5,7
KHB	20020721	1	21.07.2002	16	9	7	9	0	82	27	15,4	33,3	6,3
KHB	20020722	1	22.07.2002	19	11	10	9	0	83	25	14,2	30,8	5,8
KHB	20020723	0	23.07.2002	20	9	10	10	0	84	25	12,9	30,2	5,2
KHB	20020724	5	24.07.2002	18	9	11	7	0	85	17	16,4	23,9	6,9
KHB	20020725	5	25.07.2002	19	7	8	11	0	86	19	17,7	26,6	7,6
KHB	20020726	5	26.07.2002	16	7	6	10	0	87	21	16,0	27,7	6,7
KHB	20020727	1	27.07.2002	27	13	11	16	0	88	26	17,4	33,4	7,4
KHB	20020728	1	28.07.2002	34	14	20	14	0	89	26	19,2	34,4	8,4
KHB	20020729	4	29.07.2002	26	12	9	17	0	90	21	19,5	29,7	8,7
KHB	20020730	1	30.07.2002	21	10	8	13	0	91	28	15,3	34,3	6,3
KHB	20020731	4	31.07.2002	20	10	10	10	0	92	22	20,6	31,4	9,4
KHB	20020801	1	01.08.2002	22	7	10	12	0	93	29	16,9	36,1	7,1
KHB	20020802	6	02.08.2002	23	12	6	17	0	94	29	19,3	37,5	8,5
KHB	20020803	6	03.08.2002	25	9	7	18	0	95	26	17,9	33,7	7,7
KHB	20020804	7	04.08.2002	23	9	9	14	0	96	17	14,5	23,0	6,0
KHB	20020805	5	05.08.2002	26	9	11	15	0	97	20	13,2	25,4	5,4
KHB	20020806	2	06.08.2002	17	8	6	11	0	98	18	10,6	22,4	4,4
KHB	20020807	2	07.08.2002	25	11	10	15	0	99	21	10,8	25,5	4,5
KHB	20020808	1	08.08.2002	30	12	14	16	0	100	22	9,5	26,0	4,0
KHB	20020809	0	09.08.2002	21	9	9	12	0	101	24	9,9	28,2	4,2
KHB	20020810	1	10.08.2002	16	7	5	11	0	102	26	15,4	32,3	6,3
KHB	20020811	1	11.08.2002	25	8	6	19	0	103	28	15,3	34,3	6,3
KHB	20020812	6	12.08.2002	20	11	12	8	0	104	28	14,6	34,0	6,0
KHB	20020813	0	13.08.2002	27	10	11	16	0	105	22	18,4	30,0	8,0
KHB	20020814	4	14.08.2002	28	17	14	14	0	106	21	18,4	29,0	8,0
KHB	20020815	5	15.08.2002	21	10	10	11	0	107	17	12,3	22,1	5,1
KHB	20020816	0	16.08.2002	15	4	2	13	0	108	17	12,7	22,2	5,2
KHB	20020817	0	17.08.2002	11	7	4	7	0	109	13	12,7	18,2	5,2
KHB	20020818	5	18.08.2002	25	11	7	18	0	110	17	14,5	23,0	6,0
KHB	20020819	0	19.08.2002	22	13	11	11	0	111	18	11,8	22,8	4,8
KHB	20020820	5	20.08.2002	34	14	12	22	0	112	18	11,1	22,6	4,6
KHB	20020821	0	21.08.2002	21	7	11	10	0	113	19	12,5	24,1	5,1
KHB	20020822	0	22.08.2002	22	11	10	12	0	114	19	13,2	24,4	5,4
KHB	20020823	0	23.08.2002	22	8	9	13	0	115	20	15,0	26,2	6,2
KHB	20020824	4	24.08.2002	29	11	9	20	0	116	21	13,7	26,6	5,6
KHB	20020825	1	25.08.2002	23	18	13	10	0	117	23	15,6	29,5	6,5
KHB	20020826	0	26.08.2002	19	8	6	13	0	118	22	17,2	29,3	7,3
KHB	20020827	4	27.08.2002	19	13	8	11	0	119	22	19,0	30,3	8,3
KHB	20020828	0	28.08.2002	21	9	8	13	0	120	22	19,0	30,3	8,3
KHB	20020829	4	29.08.2002	28	14	7	21	0	121	25	18,0	32,7	7,7
KHB	20020830	4	30.08.2002	23	10	14	9	0	122	24	19,1	32,4	8,4
KHB	20020831	1	31.08.2002	20	11	8	12	0	123	26	10,2	30,2	4,2
KHB	20030601	2	01.06.2003	24	10	5	19	0	32	18	7,1	21,4	3,4
KHB	20030602	3	02.06.2003	25	8	8	17	1	33	26	4,5	28,9	2,9
KHB	20030603	1	03.06.2003	24	13	9	15	0	34	19	2,4	21,7	2,7
KHB	20030604	2	04.06.2003	20	15	10	10	0	35	17	0,6	19,6	2,6
KHB	20030605	0	05.06.2003	22	10	7	15	0	36			2,7	2,7
KHB	20030606	3	06.06.2003	23	10	7	16	1	37	27	14,4	32,9	5,9
KHB	20030607	3	07.06.2003	29	12	15	14	2	38	28	12,0	32,8	4,8
KHB	20030608	0	08.06.2003	22	9	7	15	0	39	24	13,8	29,6	5,6
KHB	20030609	0	09.06.2003	26	17	13	13	0	40	20	15,0	26,2	6,2
KHB	20030610	0	10.06.2003	33	13	13	20	0	41	25	3,6	27,8	2,8
KHB	20030611	3	11.06.2003	27	10	12	15	1	42	29	9,2	32,9	3,9
KHB	20030612	3	12.06.2003	14	6	8	6	2	43	30	12,0	34,8	4,8
KHB	20030613	0	13.06.2003	21	8	6	15	0	44	20	13,0	25,3	5,3
KHB	20030614	0	14.06.2003	19	10	9	10	0	45	23	3,0	25,7	2,7
KHB	20030615	1	15.06.2003	24	9	6	18	0	46	23	9,8	27,1	4,1
KHB	20030616	4	16.06.2003	24	15	8	16	0	47	17	14,5	23,0	6,0
KHB	20030617	1	17.06.2003	23	12	9	14	0	48	24	14,1	29,8	5,8
KHB	20030618	6	18.06.2003	25	10	11	14	0	49	30	13,7	35,6	5,6
KHB	20030619	6	19.06.2003	31	18	15	16	0	50	30	13,3	35,4	5,4
KHB	20030620	3	20.06.2003	29	15	10	19	1	51	29	16,2	35,7	6,7
KHB	20030621	1	21.06.2003	24	10	7	17	0	52	27	11,9	31,8	4,8
KHB	20030622	3	22.06.2003	30	14	17	13	1	53	30	18,1	37,8	7,8
